  0:   49| [55] [√Current Chapter 2]
  1:   60| [45] [Afterwards, Watase and the others concluded their search for Yuuri for the time being and regrouped in the "Neuroscience Laboratory" in Area 5.]
  2:  173| [47] [Ena]
  3:  176| [45] ["I checked B2, but I didn't find her."]
  4:  184| [47] [Ukita]
  5:  187| [45] ["Me neither..."]
  6:  195| [47] [Kazami]
  7:  198| [45] ["... So we've really lost sight of her, huh..."]
  8:  285| [45] [As he watched everyone give their reports with depressed faces, Natsuhiko thought to himself.]
  9:  290| [47] [Natsuhiko]
 10:  291| [45] [(I ended up helping her escape... but was that really the right choice?)]
 11:  296| [47] [Natsuhiko]
 12:  297| [45] [(Well... it's not like I had a choice back then.)]
 13:  302| [45] [As Natsuhiko agreed with himself, he focused on the laboratory itself.]
 14:  307| [45] [The sight of all the equipment ready there began to bother him.]
 15:  312| [47] [Natsuhiko]
 16:  313| [45] [(... That's strange...)]
 17:  318| [47] [Natsuhiko]
 18:  319| [45] [(Laboratories like these usually experiment on mice and stuff, don't they?)]
 19:  324| [47] [Natsuhiko]
 20:  325| [45] [(So why is all the equipment here scaled for human use...?)]
 21:  340| [45] [As Natsuhiko pondered on that observation-- Ukita suddenly started interrogating Watase.]
 22:  366| [47] [Ukita]
 23:  369| [45] ["--In fact, why did you go to the basement in the first place? How did you lose your memories?"]
 24:  377| [47] [Watase]
 25:  380| [45] ["W-well..."]
 26:  406| [47] [Ukita]
 27:  409| [45] ["Amnesia caused by external trauma normally fades away with the progression of time.%NYet you show no signs of recovery regardless of how long it's been... do you not find that strange?"]
 28:  435| [47] [Jun]
 29:  438| [45] ["Mr. Ukita... are you implying something?"]
 30:  465| [47] [Ukita]
 31:  468| [45] ["I am. It is my belief that-- Captain Kasasagi may be lying about having amnesia."]
 32:  530| [47] [Kazami]
 33:  533| [45] ["Th-that's impossible! Why would he ever need to lie about something like that!?"]
 34:  559| [47] [Ukita]
 35:  562| [45] ["I believe... that it's because he's trying to hide something."]
 36:  588| [47] [Ukita]
 37:  591| [45] ["No, if I'm to be completely honest, I've suspected that from the very beginning."]
 38:  596| [47] [Natsuhiko]
 39:  597| [45] [(What's gotten into Mr. Ukita all of a sudden!? Is he blaming Yuuri's disappearance on Watase!?)]
 40:  602| [47] [Natsuhiko]
 41:  603| [45] [(Does that mean Mr. Ukita wasn't one of Watase's comrades!?)]
 42:  608| [45] [As Natsuhiko pondered that thought, Watase objected to Ukita's accusation.]
 43:  616| [47] [Watase]
 44:  619| [45] ["I-I've done nothing wrong! Even without my memories, I--"]
 45:  645| [47] [Ukita]
 46:  648| [45] ["Then go ahead and prove your innocence!"]
 47:  653| [45] [Watase was pierced by everyone's suspicious stares.]
 48:  658| [45] [Ukita's accusation was persuasive enough.]
 49:  663| [47] [Natsuhiko]
 50:  664| [45] [(But... if their suspicion of him grows any stronger, what will happen to Watase?)]
 51:  669| [47] [Natsuhiko]
 52:  670| [45] [(If they restrain him, it'll restrict my ability to act too, won't it?)]
 53:  675| [47] [Natsuhiko]
 54:  676| [45] [(Also--)]
 55:  968| [47] [Natsuhiko]
 56:  969| [45] [(--In the off chance that Mr. Ukita was the one who killed everyone...!)]
 57:  974| [47] [Natsuhiko]
 58:  975| [45] [(If there's discord between the terrorists inside this facility...!)]
 59:  980| [45] [Then Ukita could very well end up killing Watase anyway.]
 60:  985| [45] [In which case Natsuhiko's spirit would likely vanish as well.]
 61:  990| [47] [Natsuhiko]
 62:  991| [45] [(Wh-what do we do...? It doesn't look like Mr. Ukita's willing to give up on his suspicions of the current Watase.)]
 63:  996| [47] [Natsuhiko]
 64:  997| [45] [(Should I try temporarily restoring the bastard's memories?)]
 65: 1002| [47] [Natsuhiko]
 66: 1003| [45] [(... No, I can't! If I did, that would truly be the revival of a murderer in itself!)]
 67: 1008| [47] [Natsuhiko]
 68: 1009| [45] [(Then what should I do...!?)]
 69: 1014| [47] [Natsuhiko]
 70: 1015| [45] [(What the hell -can- I do...!?)]
