  0:   65| [45] [――そこはまるで、牢屋のように無機質な部屋だった。]
  1:   70| [45] [サリュはその部屋に佇み、独り思っている。]
  2:   75| [45] [『この施設の中が、私の世界の全てだ』と。]
  3:   80| [45] [その時、部屋の扉が開き――]
  4:  106| [47] [美夜子]
  5:  109| [45] [「優衣、出なさい」]
  6:  114| [45] [そう声がかけられた。]
  7:  152| [47] [美夜子]
  8:  155| [45] [「実験の時間よ」]
  9:  160| [45] [部屋に入ってきた天川博士に、サリュは問いを返した。]
 10:  165| [47] [サリュ]
 11:  168| [45] [「今日は、誰の記憶を移すの？」]
 12:  176| [47] [美夜子]
 13:  179| [45] [「流体物理学の権威、加賀野名誉教授の記憶よ」]
 14:  184| [47] [サリュ]
 15:  187| [45] [「流体物理学。興味ない」]
 16:  213| [47] [美夜子]
 17:  216| [45] [「理解してしまえば、案外面白いかもしれないじゃない」]
 18:  224| [47] [美夜子]
 19:  227| [45] [「どうせ一瞬の出来事でしょう」]
 20:  232| [45] [確かに博士の言う通りだ。]
 21:  237| [45] [サリュは頷き、そして博士と共に部屋を出た。]
 22:  341| [45] [部屋の外には、博士の他の研究員もいた。]
 23:  346| [45] [サリュは彼らと共に、地下庭園を歩き、被験体Ｎの部屋の前まで行く。]
 24:  402| [45] [そこで目隠しをされ、手足を錠で拘束された。]
 25:  446| [45] [この扉の向こうには、『被験体Ｎ』がいる。]
 26:  451| [45] [彼女に会う者は、このように完全に体を拘束されるか、ＡＤを投与しなければならないのだ。]
 27:  462| [45] [天川博士たちが扉を開け、サリュを被験体Ｎの部屋に入れる。]
 28:  486| [47] [被験体Ｎ]
 29:  489| [45] [「……お疲れさまです」]
 30:  494| [45] [被験体Ｎの声が聞こえた。]
 31:  499| [45] [すぐに研究員たちの声が続く。]
 32:  504| [47] [江里口]
 33:  507| [45] [「始めるぞ、被験体Ｎ」]
 34:  512| [47] [柏木]
 35:  515| [45] [「記憶伝達実験フェイズ２、第３１６号開始します」]
 36:  520| [47] [柏木]
 37:  523| [45] [「３号被験体Ｎから、２号被験体Ｙへ。センシズシンパシー開始」]
 38:  528| [47] [被験体Ｎ]
 39:  531| [45] [「はい」]
 40:  543| [45] [その言葉と同時に、瞬時にサリュの頭の中に、『情報』が洪水のように流れ込んできた。]
 41:  555| [45] [さきほど博士が言っていた、『流体物理学の権威』とやらの記憶だ。]
 42:  567| [47] [サリュ]
 43:  570| [45] [「う……」]
 44:  575| [45] [サリュは呻いた。]
 45:  580| [45] [一瞬の事とはいえ、この感覚はいつまで経っても慣れない。]
 46:  585| [45] [書き換えられているのはただの記憶なのに、心までもが書き換えられているようで。]
 47:  590| [47] [被験体Ｎ]
 48:  593| [45] [「――終わりました」]
 49:  598| [45] [だが被験体Ｎの言葉と共に、すぐにその奇妙な感覚は消えた。]
 50:  603| [47] [江里口]
 51:  606| [45] [「了解。それでは被験体Ｙ、退去」]
 52:  611| [45] [そしてサリュは、その部屋からまた連れ出された。]
 53:  700| [45] [地下庭園に戻ったサリュは、天川博士からＰＤＡを渡された。]
 54:  708| [47] [美夜子]
 55:  711| [45] [「優衣、この問題を解いてみて」]
 56:  722| [45] [そのＰＤＡのディスプレイには、流体物理学に関する問題が表示されている。]
 57:  727| [45] [『２０１５年８月、木星の南極付近に、剛体流転する文様が確認された。]
 58:  732| [45] [以下に示されたデータは、それを２次元的に理想化したものである。]
 59:  737| [45] [このデータを元に、この文様の生成過程を説明せよ』]
 60:  742| [47] [サリュ]
 61:  745| [45] [「了解」]
 62:  756| [45] [サリュはＰＤＡを取り、すらすらとその問題を解いた。]
 63:  762| [45] [その解答を見て、天川博士が言う。]
 64:  788| [47] [美夜子]
 65:  791| [45] [「うん、正解よ」]
 66:  796| [47] [サリュ]
 67:  799| [45] [「当然」]
 68:  804| [45] [どうという事はない。]
 69:  809| [45] [この問題自体、件の流体物理学の権威が作ったものだ。]
 70:  814| [45] [ならばサリュに、解けないわけがなかった。]
 71:  840| [47] [美夜子]
 72:  843| [45] [「記憶伝達の成功を確認。記憶伝達実験フェイズ２、第３１６号、終了します」]
 73:  848| [45] [博士はボイスレコーダーにそう吹き込み、それからサリュに言った。]
 74:  874| [47] [美夜子]
 75:  877| [45] [「それでは今日のおつとめは終わりよ。部屋に帰りましょう」]
 76:  882| [47] [サリュ]
 77:  885| [45] [「わかった」]
 78:  890| [45] [そう答え、博士と共に、また元いた部屋に戻る。]
 79:  895| [45] [これがサリュの、唯一にして絶対の『役目』だった。]
 80:  950| [45] [ラボがここ４年間に渡り行っている『記憶伝達実験』。その内容は単純だ。]
 81:  955| [45] [まず専門的知識を保有している『客』を、ラボに招く。]
 82:  960| [45] [客は薬で眠らされた後、すみやかに被験体Ｎの部屋に連れて行かれる。]
 83:  965| [45] [そこで被験体Ｎはセンシズシンパシーを応用する事で、客が持つ全ての知識を盗み取ってしまうのだ。]
 84:  970| [45] [熟練したレベル６コミュ二ケーターは、人間の脳内に存在する情報を、まるでデジタルデータのように扱う事ができるようになる。]
 85:  975| [45] [他者の記憶を己の脳にコピーする事もできるし、己の記憶を第三者に与える事も可能だ。]
 86:  980| [45] [脳内のＢＣ粒子を自在に操作できれば、それくらいの事は造作もない。]
 87:  985| [45] [しかもそれに要する時間は、ごくわずか。]
 88:  990| [45] [客の記憶には空白ができるが、それに対しても被験体Ｎが捏造した記憶を与える。]
 89:  995| [45] [薬が切れ、目が覚めた時には何も覚えていない。それどころか、何かされたという自覚すらない。]
 90: 1000| [45] [絶対に発覚しない、極めて効率的な技術簒奪。]
 91: 1005| [45] [ラボと鹿鳴市、そしてとある企業が手を組んで作り上げた、産業スパイの構造だった。]
 92: 1010| [47] [サリュ]
 93: 1011| [45] [（よくできたシステム……）]
 94: 1016| [45] [サリュもそう思っている。]
 95: 1021| [45] [客を招く方法もまた、いくつか存在する。]
 96: 1026| [45] [用事をでっち上げて、直接招くパターン。客自身が自ら望んでラボを訪れるパターン。]
 97: 1031| [45] [鹿鳴市立病院もグルになっているので、有用な知識を持つ患者を薬で眠らせ、ラボに輸送したという事例もあるという。]
 98: 1036| [45] [かくしてラボは、訪れた客の知識を手に入れ、それを施設運用その他に活用している。]
 99: 1041| [45] [ＢＣに直接関係のない技術も貪欲に奪い、それを懇意にしている研究機関に売却したりもする。]
100: 1046| [45] [――サリュの役割は、その一連の流れの最終工程にある。]
101: 1051| [45] [被験体Ｎが客から奪った記憶と知識は、全てサリュの頭脳に転写される。]
102: 1056| [45] [いわばバックアップだ。]
103: 1061| [45] [サリュは被験体Ｎの頭脳の、『予備』として存在していたのだ。]
104: 1066| [45] [だからと言って、サリュがその事についてどうこう思う事はない。]
105: 1071| [45] [物心ついた頃から、彼女はその役割を背負っていた。]
106: 1076| [45] [ただ週に１度か２度、こうして博士と共に、被験体Ｎの部屋と自分の部屋を往復する。]
107: 1081| [45] [それだけで生活に必要なものは、全て手に入った。]
108: 1086| [45] [自由以外の全ては。]
109: 1167| [47] [美夜子]
110: 1170| [45] [「……今日もお疲れさま」]
111: 1175| [45] [いつものように、天川博士が労いの声をかける。]
112: 1180| [45] [その声量がいつもより、やや小さい事に気付いた。]
113: 1185| [47] [サリュ]
114: 1188| [45] [「博士、元気ない？」]
115: 1214| [47] [美夜子]
116: 1217| [45] [「大丈夫、少し疲れているだけよ。ここのところ忙しくてね」]
117: 1222| [45] [サリュは安心した。博士が言うならそうなのだろう。]
118: 1248| [47] [美夜子]
119: 1251| [45] [「申し訳ないけど、予定があるのでもう行くわ。後でまた顔を出すから」]
120: 1256| [47] [サリュ]
121: 1259| [45] [「次の予定は？」]
122: 1285| [47] [美夜子]
123: 1288| [45] [「ん……しばらくはないかも知れないわ」]
124: 1314| [47] [美夜子]
125: 1317| [45] [「被験体Ｎの体調が、近頃優れないの」]
126: 1322| [47] [サリュ]
127: 1325| [45] [「そう」]
128: 1330| [45] [サリュはわずらわしさを感じずに済む嬉しさと、予定が減った寂しさとを同時に感じた。]
129: 1356| [47] [美夜子]
130: 1359| [45] [「予定が決まったら教えるわね。それじゃまた」]
131: 1416| [45] [博士はそう言って、部屋を出ていった。]
132: 1421| [45] [サリュは閉ざされた扉を見つめる。]
133: 1426| [45] [外から開けてもらわない限り、この扉は決して開く事はない。]
134: 1431| [45] [次に博士が来るまで、しばらく暇になるなと思った。]
135: 1477| [45] [――いつからこんな事を続けていたのか、サリュ自身もよく覚えていない。]
136: 1482| [45] [幾度も上書きされた膨大な知識の中に、そんな瑣末な過去は埋もれてしまった。]
137: 1487| [45] [ただ、もっと幼い頃は、別の役割を背負っていた事は覚えている。]
138: 1492| [47] [サリュ]
139: 1493| [45] [（確かあれは、ＷＸ粒子を体に浴びせる実験だった……）]
140: 1552| [45] [意図的にＮエリアに、ＷＸ粒子が蔓延する環境を作り、そこにサリュを長時間さらすという実験を行っていたのだ。]
141: 1557| [45] [そうする事により、人為的にＢＣの適性度を向上させる――それが実験の目的だ。]
142: 1562| [45] [だがサリュには素養がなかったようだ。]
143: 1567| [45] [実験は成功せず、適性度は生来のＦのままだった。]
144: 1625| [47] [サリュ]
145: 1626| [45] [（あれに比べれば、どんな実験もまし……）]
146: 1631| [45] [それが５年前に終った事を、サリュは感謝している。]
147: 1636| [45] [現状行われている『記憶伝達実験』の方は、１度の失敗もない。]
148: 1641| [47] [サリュ]
149: 1642| [45] [（……今の実験には、昔のあれと違って、確かな意味がある）]
150: 1702| [45] [バックアップ要員に過ぎないとはいえ、サリュはここから出る事なく、あらゆる知識を身につける事ができた。]
151: 1707| [45] [身体操作に関しても、技術継承が行える事を実証した。]
152: 1712| [45] [――６歳の頃にはカントの『純粋理性批判』を完全に理解し、実存主義的観点からその問題点を指摘する事もできた。]
153: 1717| [45] [７歳の頃には、世界中の数学者が挑み続けたゼータ関数の謎を解き明かし、リーマン予想の証明を果たした。]
154: 1723| [45] [８歳の頃には、老いた名ピアニストの知識を受け継ぎ、超難度ピアノ曲『夜のガスパール』の演奏に成功した。]
155: 1728| [45] [９歳の頃には、器械体操から球技、そして格闘技に至るまで、あらゆる運動技術を身につけるに至った。]
156: 1733| [45] [１０歳の今日には――サリュは各分野のスペシャリスト３１６人分の知識を、その頭脳に全て納めていた。]
157: 1792| [47] [サリュ]
158: 1793| [45] [（……そうして私は、怪物になった）]
159: 1798| [45] [もはやサリュの脳内にある知識の量は、間違いなく人間の限界を超えているだろう。]
160: 1803| [45] [肥大し続ける知識は、彼女の生きてきた歴史そのものであり――]
161: 1808| [45] [いつしか彼女はそれを、己の存在証明であるとさえ思っていた。]
