  0:   65| [45] [――そこはまるで、牢屋のように無機質な部屋だった。]
  1:   70| [45] [サリュはその部屋に佇み、独り思っている。]
  2:   75| [45] [『この施設の中が、私の世界の全てだ』と。]
  3:   80| [47] [夏彦]
  4:   81| [45] [（施設……！？）]
  5:   86| [45] [夏彦はその言葉を、いぶかしく思う。]
  6:   91| [45] [そこに扉を開けて入ってきたのは、教育係ではなく――]
  7:  117| [47] [美夜子]
  8:  120| [45] [「優衣、出なさい」]
  9:  125| [47] [夏彦]
 10:  126| [45] [（ッ！？）]
 11:  131| [45] [夏彦が良く知る女性だった。]
 12:  169| [47] [美夜子]
 13:  172| [45] [「実験の時間よ」]
 14:  177| [45] [部屋に入ってきた天川博士に、サリュは問いを返した。]
 15:  182| [47] [サリュ]
 16:  185| [45] [「今日は、誰の記憶を移すの？」]
 17:  193| [47] [美夜子]
 18:  196| [45] [「流体物理学の権威、加賀野名誉教授の記憶よ」]
 19:  201| [47] [サリュ]
 20:  204| [45] [「流体物理学。興味ない」]
 21:  230| [47] [美夜子]
 22:  233| [45] [「理解してしまえば、案外面白いかもしれないじゃない」]
 23:  241| [47] [美夜子]
 24:  244| [45] [「どうせ一瞬の出来事でしょう」]
 25:  249| [45] [確かに博士の言う通りだ。]
 26:  254| [45] [サリュは頷き、そして博士と共に部屋を出た。]
 27:  358| [45] [部屋の外には、博士の他の研究員もいた。]
 28:  363| [45] [サリュは彼らと共に、地下庭園を歩き、被験体Ｎの部屋の前まで行く。]
 29:  419| [45] [そこで目隠しをされ、手足を錠で拘束された。]
 30:  463| [45] [この扉の向こうには、『被験体Ｎ』がいる。]
 31:  468| [45] [彼女に会う者は、このように完全に体を拘束されるか、ＡＤを投与しなければならないのだ。]
 32:  479| [45] [天川博士たちが扉を開け、サリュを被験体Ｎの部屋に入れる。]
 33:  503| [47] [被験体Ｎ]
 34:  506| [45] [「……お疲れさまです」]
 35:  511| [45] [被験体Ｎの声が聞こえた。]
 36:  516| [45] [すぐに研究員たちの声が続く。]
 37:  521| [47] [江里口]
 38:  524| [45] [「始めるぞ、被験体Ｎ」]
 39:  529| [47] [柏木]
 40:  532| [45] [「記憶伝達実験フェイズ２、第３１６号開始します」]
 41:  537| [47] [柏木]
 42:  540| [45] [「３号被験体Ｎから、２号被験体Ｙへ。センシズシンパシー開始」]
 43:  545| [47] [被験体Ｎ]
 44:  548| [45] [「はい」]
 45:  560| [45] [その言葉と同時に、瞬時にサリュの頭の中に、『情報』が洪水のように流れ込んできた。]
 46:  572| [45] [さきほど博士が言っていた、『流体物理学の権威』とやらの記憶だ。]
 47:  584| [47] [サリュ]
 48:  587| [45] [「う……」]
 49:  592| [45] [サリュは呻いた。]
 50:  597| [45] [一瞬の事とはいえ、この感覚はいつまで経っても慣れない。]
 51:  602| [45] [書き換えられているのはただの記憶なのに、心までもが書き換えられているようで。]
 52:  607| [47] [被験体Ｎ]
 53:  610| [45] [「――終わりました」]
 54:  615| [45] [だが被験体Ｎの言葉と共に、すぐにその奇妙な感覚は消えた。]
 55:  620| [47] [江里口]
 56:  623| [45] [「了解。それでは被験体Ｙ、退去」]
 57:  628| [45] [そしてサリュは、その部屋からまた連れ出された。]
 58:  717| [45] [地下庭園に戻ったサリュは、天川博士からＰＤＡを渡された。]
 59:  725| [47] [美夜子]
 60:  728| [45] [「優衣、この問題を解いてみて」]
 61:  739| [45] [そのＰＤＡのディスプレイには、流体物理学に関する問題が表示されている。]
 62:  744| [45] [『２０１５年８月、木星の南極付近に、剛体流転する文様が確認された。]
 63:  749| [45] [以下に示されたデータは、それを２次元的に理想化したものである。]
 64:  754| [45] [このデータを元に、この文様の生成過程を説明せよ』]
 65:  759| [47] [サリュ]
 66:  762| [45] [「了解」]
 67:  773| [45] [サリュはＰＤＡを取り、すらすらとその問題を解いた。]
 68:  779| [45] [その解答を見て、天川博士が言う。]
 69:  805| [47] [美夜子]
 70:  808| [45] [「うん、正解よ」]
 71:  813| [47] [サリュ]
 72:  816| [45] [「当然」]
 73:  821| [45] [どうという事はない。]
 74:  826| [45] [この問題自体、件の流体物理学の権威が作ったものだ。]
 75:  831| [45] [ならばサリュに、解けないわけがなかった。]
 76:  857| [47] [美夜子]
 77:  860| [45] [「記憶伝達の成功を確認。記憶伝達実験フェイズ２、第３１６号、終了します」]
 78:  865| [45] [博士はボイスレコーダーにそう吹き込み、それからサリュに言った。]
 79:  891| [47] [美夜子]
 80:  894| [45] [「それでは今日のおつとめは終わりよ。部屋に帰りましょう」]
 81:  899| [47] [サリュ]
 82:  902| [45] [「わかった」]
 83:  907| [45] [そう答え、博士と共に、また元いた部屋に戻る。]
 84:  912| [45] [これがサリュの、唯一にして絶対の『役目』だった。]
 85:  967| [45] [ラボがここ４年間に渡り行っている『記憶伝達実験』。その内容は単純だ。]
 86:  972| [45] [まず専門的知識を保有している『客』を、ラボに招く。]
 87:  977| [45] [客は薬で眠らされた後、すみやかに被験体Ｎの部屋に連れて行かれる。]
 88:  982| [45] [そこで被験体Ｎはセンシズシンパシーを応用する事で、客が持つ全ての知識を盗み取ってしまうのだ。]
 89:  987| [45] [熟練したレベル６コミュ二ケーターは、人間の脳内に存在する情報を、まるでデジタルデータのように扱う事ができるようになる。]
 90:  992| [45] [他者の記憶を己の脳にコピーする事もできるし、己の記憶を第三者に与える事も可能だ。]
 91:  997| [45] [脳内のＢＣ粒子を自在に操作できれば、それくらいの事は造作もない。]
 92: 1002| [45] [しかもそれに要する時間は、ごくわずか。]
 93: 1007| [45] [客の記憶には空白ができるが、それに対しても被験体Ｎが捏造した記憶を与える。]
 94: 1012| [45] [薬が切れ、目が覚めた時には何も覚えていない。それどころか、何かされたという自覚すらない。]
 95: 1017| [45] [絶対に発覚しない、極めて効率的な技術簒奪。]
 96: 1022| [45] [ラボと鹿鳴市、そしてとある企業が手を組んで作り上げた、産業スパイの構造だった。]
 97: 1027| [47] [サリュ]
 98: 1028| [45] [（よくできたシステム……）]
 99: 1033| [45] [サリュもそう思っている。]
100: 1038| [45] [客を招く方法もまた、いくつか存在する。]
101: 1043| [45] [用事をでっち上げて、直接招くパターン。客自身が自ら望んでラボを訪れるパターン。]
102: 1048| [45] [鹿鳴市立病院もグルになっているので、有用な知識を持つ患者を薬で眠らせ、ラボに輸送したという事例もあるという。]
103: 1053| [45] [かくしてラボは、訪れた客の知識を手に入れ、それを施設運用その他に活用している。]
104: 1058| [45] [ＢＣに直接関係のない技術も貪欲に奪い、それを懇意にしている研究機関に売却したりもする。]
105: 1063| [45] [――サリュの役割は、その一連の流れの最終工程にある。]
106: 1068| [45] [被験体Ｎが客から奪った記憶と知識は、全てサリュの頭脳に転写される。]
107: 1073| [45] [いわばバックアップだ。]
108: 1078| [45] [サリュは被験体Ｎの頭脳の、『予備』として存在していたのだ。]
109: 1083| [45] [だからと言って、サリュがその事についてどうこう思う事はない。]
110: 1088| [45] [物心ついた頃から、彼女はその役割を背負っていた。]
111: 1093| [45] [ただ週に１度か２度、こうして博士と共に、被験体Ｎの部屋と自分の部屋を往復する。]
112: 1098| [45] [それだけで生活に必要なものは、全て手に入った。]
113: 1103| [45] [自由以外の全ては。]
114: 1184| [47] [美夜子]
115: 1187| [45] [「……今日もお疲れさま」]
116: 1192| [45] [いつものように、天川博士が労いの声をかける。]
117: 1197| [45] [その声量がいつもより、やや小さい事に気付いた。]
118: 1202| [47] [サリュ]
119: 1205| [45] [「博士、元気ない？」]
120: 1231| [47] [美夜子]
121: 1234| [45] [「大丈夫、少し疲れているだけよ。ここのところ忙しくてね」]
122: 1239| [45] [サリュは安心した。博士が言うならそうなのだろう。]
123: 1265| [47] [美夜子]
124: 1268| [45] [「申し訳ないけど、予定があるのでもう行くわ。後でまた顔を出すから」]
125: 1273| [47] [サリュ]
126: 1276| [45] [「次の予定は？」]
127: 1302| [47] [美夜子]
128: 1305| [45] [「ん……しばらくはないかも知れないわ」]
129: 1331| [47] [美夜子]
130: 1334| [45] [「被験体Ｎの体調が、近頃優れないの」]
131: 1339| [47] [サリュ]
132: 1342| [45] [「そう」]
133: 1347| [45] [サリュはわずらわしさを感じずに済む嬉しさと、予定が減った寂しさとを同時に感じた。]
134: 1373| [47] [美夜子]
135: 1376| [45] [「予定が決まったら教えるわね。それじゃまた」]
136: 1433| [45] [博士はそう言って、部屋を出ていった。]
137: 1438| [45] [サリュは閉ざされた扉を見つめる。]
138: 1443| [45] [外から開けてもらわない限り、この扉は決して開く事はない。]
139: 1448| [45] [次に博士が来るまで、しばらく暇になるなと思った。]
140: 1494| [45] [――いつからこんな事を続けていたのか、サリュ自身もよく覚えていない。]
141: 1499| [45] [幾度も上書きされた膨大な知識の中に、そんな瑣末な過去は埋もれてしまった。]
142: 1504| [45] [ただ、もっと幼い頃は、別の役割を背負っていた事は覚えている。]
143: 1509| [47] [サリュ]
144: 1510| [45] [（確かあれは、ＷＸ粒子を体に浴びせる実験だった……）]
145: 1569| [45] [意図的にＮエリアに、ＷＸ粒子が蔓延する環境を作り、そこにサリュを長時間さらすという実験を行っていたのだ。]
146: 1574| [45] [そうする事により、人為的にＢＣの適性度を向上させる――それが実験の目的だ。]
147: 1579| [45] [だがサリュには素養がなかったようだ。]
148: 1584| [45] [実験は成功せず、適性度は生来のＦのままだった。]
149: 1642| [47] [サリュ]
150: 1643| [45] [（あれに比べれば、どんな実験もまし……）]
151: 1648| [45] [それが５年前に終った事を、サリュは感謝している。]
152: 1653| [45] [現状行われている『記憶伝達実験』の方は、１度の失敗もない。]
153: 1658| [47] [サリュ]
154: 1659| [45] [（……今の実験には、昔のあれと違って、確かな意味がある）]
155: 1719| [45] [バックアップ要員に過ぎないとはいえ、サリュはここから出る事なく、あらゆる知識を身につける事ができた。]
156: 1724| [45] [身体操作に関しても、技術継承が行える事を実証した。]
157: 1729| [45] [――６歳の頃にはカントの『純粋理性批判』を完全に理解し、実存主義的観点からその問題点を指摘する事もできた。]
158: 1734| [45] [７歳の頃には、世界中の数学者が挑み続けたゼータ関数の謎を解き明かし、リーマン予想の証明を果たした。]
159: 1740| [45] [８歳の頃には、老いた名ピアニストの知識を受け継ぎ、超難度ピアノ曲『夜のガスパール』の演奏に成功した。]
160: 1745| [45] [９歳の頃には、器械体操から球技、そして格闘技に至るまで、あらゆる運動技術を身につけるに至った。]
161: 1750| [45] [１０歳の今日には――サリュは各分野のスペシャリスト３１６人分の知識を、その頭脳に全て納めていた。]
162: 1809| [47] [サリュ]
163: 1810| [45] [（……そうして私は、怪物になった）]
164: 1815| [45] [もはやサリュの脳内にある知識の量は、間違いなく人間の限界を超えているだろう。]
165: 1820| [45] [肥大し続ける知識は、彼女の生きてきた歴史そのものであり――]
166: 1825| [45] [いつしか彼女はそれを、己の存在証明であるとさえ思っていた。]
